File Created
1,N,11948.79621,W,0.026,,070819,,,D*64
$GPRMC,200133.00,A,3932.36644,N,11948.79681,W,0.878,37.79,070819,,,D*4C
$GPRMC,200134.00,A,3932.36661,N,11948.79632,W,1.583,65.95,070819,,,D*49
$GPRMC,200135.00,A,3932.36685,N,11948.79580,W,1.773,59.94,070819,,,D*4B
$GPRMC,200136.00,A,3932.36708,N,11948.79544,W,1.248,54.64,070819,,,D*4B
$GPRMC,200137.00,A,3932.36746,N,11948.79531,W,1.140,28.94,070819,,,D*4D
$GPRMC,200138.00,A,3932.36739,N,11948.79534,W,0.613,359.98,070819,,,D*76
$GPRMC,200139.00,A,3932.36727,N,11948.79549,W,0.047,,070819,,,D*65
$GPRMC,200140.00,A,3932.36716,N,11948.79548,W,0.475,273.11,070819,,,D*75
$GPRMC,200141.00,A,3932.36721,N,11948.79544,W,0.342,,070819,,,D*67
$GPRMC,200142.00,A,3932.36724,N,11948.79533,W,0.273,,070819,,,D*62
$GPRMC,200143.00,A,3932.36729,N,11948.79522,W,0.013,,070819,,,D*6A
$GPRMC,200144.00,A,3932.36732,N,11948.79517,W,0.062,,070819,,,D*67
$GPRMC,200145.00,A,3932.36735,N,11948.79519,W,0.137,,070819,,,D*6E
$GPRMC,200146.00,A,3932.36738,N,11948.79518,W,0.069,,070819,,,D*6B
$GPRMC,200147.00,A,3932.36737,N,11948.79515,W,0.216,,070819,,,D*62
$GPRMC,200148.00,A,3932.36743,N,11948.79511,W,0.546,,070819,,,D*68
$GPRMC,200149.00,A,3932.36747,N,11948.79517,W,0.111,,070819,,,D*6D
$GPRMC,200150.00,A,3932.36744,N,11948.79523,W,0.136,,070819,,,D*64
$GPRMC,200151.00,A,3932.36743,N,11948.79521,W,0.114,,070819,,,D*60
$GPRMC,200152.00,A,3932.36742,N,11948.79528,W,0.006,,070819,,,D*69
$GPRMC,200153.00,A,3932.36742,N,11948.79537,W,0.132,,070819,,,D*60
$GPRMC,200154.00,A,3932.36743,N,11948.79546,W,0.049,,070819,,,D*6D
$GPRMC,200155.00,A,3932.36743,N,11948.79549,W,0.161,,070819,,,D*68
$GPRMC,200156.00,A,3932.36745,N,11948.79551,W,0.268,,070819,,,D*6E
$GPRMC,200157.00,A,3932.36748,N,11948.79558,W,0.120,,070819,,,D*64
$GPRMC,200158.00,A,3932.36741,N,11948.79564,W,0.077,,070819,,,D*6E
$GPRMC,200159.00,A,3932.36735,N,11948.79578,W,0.110,,070819,,,D*61
$GPRMC,200200.00,A,3932.36726,N,11948.79586,W,0.285,,070819,,,D*62
$GPRMC,200201.00,A,3932.36717,N,11948.79592,W,0.247,,070819,,,D*6A
$GPRMC,200202.00,A,3932.36716,N,11948.79599,W,0.267,,070819,,,D*61
$GPRMC,200203.00,A,3932.36715,N,11948.79605,W,0.049,,070819,,,D*6B
$GPRMC,200204.00,A,3932.36706,N,11948.79618,W,0.106,,070819,,,D*68
$GPRMC,200205.00,A,3932.36694,N,11948.79618,W,0.287,,070819,,,D*69
$GPRMC,200206.00,A,3932.36687,N,11948.79616,W,0.020,,070819,,,D*69
$GPRMC,200207.00,A,3932.36682,N,11948.79617,W,0.011,,070819,,,D*6E
$GPRMC,200208.00,A,3932.36677,N,11948.79615,W,0.062,,070819,,,D*6D
$GPRMC,200209.00,A,3932.36670,N,11948.79613,W,0.137,,070819,,,D*6C
$GPRMC,200210.00,A,3932.36665,N,11948.79613,W,0.080,,070819,,,D*6D
$GPRMC,200211.00,A,3932.36656,N,11948.79630,W,0.086,,070819,,,D*6B
$GPRMC,200212.00,A,3932.36650,N,11948.79632,W,0.071,,070819,,,D*64
$GPRMC,200213.00,A,3932.36641,N,11948.79638,W,0.115,,070819,,,D*6C
$GPRMC,200214.00,A,3932.36632,N,11948.79656,W,0.142,,070819,,,D*65
$GPRMC,200215.00,A,3932.36623,N,11948.79669,W,0.487,252.95,070819,,,D*73
$GPRMC,200216.00,A,3932.36607,N,11948.79709,W,1.408,244.40,070819,,,D*78
$GPRMC,200217.00,A,3932.36562,N,11948.79756,W,2.509,224.92,070819,,,D*79
$GPRMC,200218.00,A,3932.36516,N,11948.79796,W,1.788,222.17,070819,,,D*7A
$GPRMC,200219.00,A,3932.36485,N,11948.79834,W,1.660,229.67,070819,,,D*7C
$GPRMC,200220.00,A,3932.36460,N,11948.79878,W,2.128,232.51,070819,,,D*72
$GPRMC,200221.00,A,3932.36433,N,11948.79933,W,2.276,248.59,070819,,,D*76
$GPRMC,200222.00,A,3932.36410,N,11948.80005,W,2.469,252.01,070819,,,D*70
$GPRMC,200223.00,A,3932.36381,N,11948.80071,W,2.042,244.25,070819,,,D*71
$GPRMC,200224.00,A,3932.36349,N,11948.80135,W,2.260,248.74,070819,,,D*79
$GPRMC,200225.00,A,3932.36332,N,11948.80211,W,2.191,249.45,070819,,,D*7F
$GPRMC,200226.00,A,3932.36314,N,11948.80288,W,2.308,251.93,070819,,,D*78
$GPRMC,200227.00,A,3932.36311,N,11948.80389,W,3.442,261.85,070819,,,D*70
$GPRMC,200228.00,A,3932.36282,N,11948.80496,W,2.588,256.18,070819,,,D*7B
$GPRMC,200229.00,A,3932.36268,N,11948.80575,W,1.996,254.32,070819,,,D*78
$GPRMC,200230.00,A,3932.36251,N,11948.80646,W,2.108,254.15,070819,,,D*70
$GPRMC,200231.00,A,3932.36231,N,11948.80722,W,2.220,252.33,070819,,,D*7F
